City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
272,Alice Springs,AU,-23.7,133.8833,78.35,41,1,6.91,clear sky
273,Orda,RU,57.1951,56.9091,17.78,98,84,10.83,broken clouds
274,San Patricio,US,28.017,-97.5169,75.88,56,40,11.5,scattered clouds
275,Chulym,RU,55.0997,80.9572,3.97,99,97,10.2,overcast clouds
276,Lebu,CL,-37.6167,-73.65,61.39,92,24,16.98,few clouds
277,Brigantine,US,39.4101,-74.3646,55.67,59,0,9.22,clear sky
278,Vardo,NO,70.3705,31.1107,35.35,98,97,22.86,light snow
279,Amapa,BR,1.0,-52.0,73.33,91,34,2.1,scattered clouds
280,Padang,ID,-0.9492,100.3543,75.25,85,86,4.47,overcast clouds
281,Comodoro Rivadavia,AR,-45.8667,-67.5,82.26,26,75,28.77,broken clouds
282,Narsaq,GL,60.9167,-46.05,23.22,93,100,7.56,snow
283,Chermoz,RU,58.787,56.1489,18.54,97,58,8.14,broken clouds
284,Ixtapa,MX,20.7,-105.2,76.23,73,0,12.66,clear sky
285,Don Sak,TH,9.3168,99.6918,75.15,87,83,7.36,broken clouds
286,Russellville,US,35.2784,-93.1338,78.94,17,0,4.61,clear sky
287,Omsukchan,RU,62.5333,155.8,-7.46,98,100,5.57,overcast clouds
288,Nioro,GM,13.35,-15.75,80.06,31,98,9.98,overcast clouds
289,Fianarantsoa,MG,-21.4333,47.0833,63.68,98,96,1.52,overcast clouds
290,Ligayan,PH,4.6533,119.4706,81.16,79,52,9.53,broken clouds
291,Bathurst,AU,-33.4166,149.5806,70.72,70,95,12.15,overcast clouds
292,Saint George,US,37.1041,-113.5841,79.27,16,0,0.0,clear sky
293,Linjiang,CN,41.8069,126.9078,14.76,93,53,0.83,broken clouds
294,Havre-Saint-Pierre,CA,50.2334,-63.5986,21.2,86,75,18.41,broken clouds
295,Aksu,CN,41.1231,80.2644,37.83,40,3,3.27,clear sky
296,Alofi,NU,-19.0595,-169.9187,85.89,74,75,9.22,broken clouds
297,Coahuayana,MX,18.7333,-103.6833,89.08,47,0,6.87,clear sky
298,Wasilla,US,61.5814,-149.4394,37.72,45,40,12.66,scattered clouds
299,Ciudad Bolivar,VE,8.1222,-63.5497,86.18,55,54,12.24,broken clouds
300,Hasaki,JP,35.7333,140.8333,39.29,79,100,10.47,overcast clouds
301,Uyuni,BO,-20.4597,-66.825,49.46,79,82,5.26,broken clouds
302,Homer,US,59.6425,-151.5483,38.08,76,100,9.22,overcast clouds
303,Ancud,CL,-41.8697,-73.8203,67.53,89,100,6.44,overcast clouds
304,Benghazi,LY,32.1167,20.0667,55.09,53,7,19.86,clear sky
305,Portland,US,45.5234,-122.6762,55.45,93,100,5.99,light rain
306,Ferme-Neuve,CA,46.7001,-75.4493,20.98,97,100,3.47,light snow
307,Izumo,JP,35.3667,132.7667,42.69,65,20,8.05,few clouds
308,Querecotillo,PE,-4.8378,-80.6456,84.18,49,93,16.22,overcast clouds
309,Knysna,ZA,-34.0363,23.0471,64.78,76,0,4.85,clear sky
310,Kashi,CN,39.4547,75.9797,43.81,24,0,11.18,clear sky
311,Hobyo,SO,5.3505,48.5268,78.28,74,51,18.28,broken clouds
312,Tall Kayf,TR,37.0833,41.0667,50.58,92,100,14.5,overcast clouds
313,Cumra,TR,37.5732,32.7745,33.94,87,93,12.91,light snow
314,Srednekolymsk,RU,67.45,153.6833,-6.79,95,100,7.0,overcast clouds
315,Marsh Harbour,BS,26.5412,-77.0636,73.44,68,6,12.06,clear sky
316,Acajutla,SV,13.5928,-89.8275,98.94,56,4,7.47,clear sky
317,Lagunas,PE,-5.2269,-75.6753,75.31,94,100,3.36,moderate rain
318,Fukue,JP,32.6881,128.8419,49.98,55,2,14.34,clear sky
319,Saint-Michel-Des-Saints,CA,46.6834,-73.9159,12.47,92,100,2.21,overcast clouds
320,Sungaipenuh,ID,-2.0833,101.3833,63.34,94,86,2.73,light rain
321,Togur,RU,58.3631,82.8265,8.08,95,100,8.34,overcast clouds
322,Taitung,TW,22.7583,121.1444,66.47,88,40,4.61,scattered clouds
323,Goure,NE,13.9835,10.2704,79.02,6,25,8.03,scattered clouds
324,Andenes,NO,69.3143,16.1194,33.78,69,75,20.71,light snow
325,Binzhou,CN,37.3667,118.0167,38.91,24,0,3.4,clear sky
326,Gravdal,NO,68.1214,13.5031,33.69,75,75,11.5,broken clouds
327,Harnosand,SE,62.6323,17.9379,37.4,73,3,20.47,clear sky
328,Borogontsy,RU,62.6683,131.1683,-26.36,100,100,2.84,overcast clouds
329,Hvolsvollur,IS,63.7533,-20.2243,34.81,76,93,8.63,overcast clouds
330,Dhidhdhoo,MV,6.8833,73.1,82.98,57,100,6.51,overcast clouds
331,Canutama,BR,-6.5339,-64.3831,75.06,91,96,0.67,overcast clouds
332,Farafangana,MG,-22.8167,47.8333,75.97,91,92,6.26,moderate rain
333,Nehe,CN,48.4833,124.8333,-8.7,99,28,1.99,scattered clouds
334,Oussouye,SN,12.485,-16.5469,75.38,60,100,11.52,overcast clouds
335,Colorado,BR,-22.8375,-51.9731,71.6,86,100,3.33,overcast clouds
336,Broome,US,42.2506,-75.833,39.78,51,75,5.75,broken clouds
337,Hofn,IS,64.2539,-15.2082,42.53,94,100,14.27,overcast clouds
338,Manono,CD,-7.3,27.4167,67.19,97,94,0.76,overcast clouds
339,Sur,OM,22.5667,59.5289,73.33,64,0,6.76,clear sky
340,Roald,NO,62.5833,6.1333,39.76,100,20,4.61,few clouds
341,Freetown,SL,8.484,-13.2299,76.37,78,45,6.2,light rain
342,Suclayin,PH,15.7568,121.5503,74.12,89,87,1.5,overcast clouds
343,Krasnoborsk,RU,61.5598,45.934,32.07,93,100,3.89,overcast clouds
344,Mareeba,AU,-17.0,145.4333,81.48,89,65,4.94,broken clouds
345,Sioux Lookout,CA,50.1001,-91.917,12.58,47,0,9.22,clear sky
